registrationNumber,fuelType,monthOfFirstRegistration
RRZ2524,Diesel,2020-03-01 00:00:00 UTC
OXZ3098,Diesel,2020-03-01 00:00:00 UTC
RRZ3620,Diesel,2020-03-01 00:00:00 UTC
PRZ6782,Diesel,2020-03-01 00:00:00 UTC
RRZ3346,Diesel,2020-03-01 00:00:00 UTC
RRZ4851,Diesel,2020-03-01 00:00:00 UTC
ESZ1729,Diesel,2020-03-01 00:00:00 UTC
RRZ3551,Diesel,2020-03-01 00:00:00 UTC
OXZ1464,Diesel,2020-03-01 00:00:00 UTC
PGZ9583,Diesel,2020-03-01 00:00:00 UTC
PRZ9323,Diesel,2020-03-01 00:00:00 UTC
RRZ3628,Diesel,2020-03-01 00:00:00 UTC
XUI6858,Diesel,2020-03-01 00:00:00 UTC
AYZ1730,Diesel,2020-03-01 00:00:00 UTC
XHZ5268,Diesel,2020-03-01 00:00:00 UTC
RRZ4230,Diesel,2020-03-01 00:00:00 UTC
PGZ9582,Diesel,2020-03-01 00:00:00 UTC
RRZ2862,Diesel,2020-03-01 00:00:00 UTC
RRZ3448,Diesel,2020-03-01 00:00:00 UTC
RRZ4209,Diesel,2020-03-01 00:00:00 UTC
XUI7198,Diesel,2020-03-01 00:00:00 UTC
XHZ5267,Diesel,2020-03-01 00:00:00 UTC
XHZ6603,Diesel,2020-03-01 00:00:00 UTC
RRZ4006,Diesel,2020-03-01 00:00:00 UTC
PGZ9578,Diesel,2020-03-01 00:00:00 UTC
PRZ9327,Diesel,2020-03-01 00:00:00 UTC
RRZ4166,Diesel,2020-03-01 00:00:00 UTC
RRZ5059,Diesel,2020-03-01 00:00:00 UTC
RRZ2542,Diesel,2020-03-01 00:00:00 UTC
RRZ3230,Diesel,2020-03-01 00:00:00 UTC
XHZ5347,Diesel,2020-03-01 00:00:00 UTC
OXZ3393,Diesel,2020-03-01 00:00:00 UTC
OXZ3500,Diesel,2020-03-01 00:00:00 UTC
RRZ3568,Diesel,2020-03-01 00:00:00 UTC
PGZ8311,Diesel,2020-03-01 00:00:00 UTC
PRZ9325,Diesel,2020-03-01 00:00:00 UTC
OXZ3351,Diesel,2020-03-01 00:00:00 UTC
PRZ9324,Diesel,2020-03-01 00:00:00 UTC
RRZ5058,Diesel,2020-03-01 00:00:00 UTC
OXZ4181,Diesel,2020-03-01 00:00:00 UTC
DSZ5736,Diesel,2020-03-01 00:00:00 UTC
UIG5610,Diesel,2020-03-01 00:00:00 UTC
RRZ4008,Diesel,2020-03-01 00:00:00 UTC
PGZ8504,Diesel,2020-03-01 00:00:00 UTC
DSZ5738,Diesel,2020-03-01 00:00:00 UTC
OXZ3054,Diesel,2020-03-01 00:00:00 UTC
DSZ9959,Diesel,2020-03-01 00:00:00 UTC
OXZ2461,Diesel,2020-03-01 00:00:00 UTC
DSZ9958,Diesel,2020-03-01 00:00:00 UTC
RGZ3604,Diesel,2020-03-01 00:00:00 UTC
RRZ3583,Diesel,2020-03-01 00:00:00 UTC
AYZ3448,Diesel,2020-03-01 00:00:00 UTC
RRZ5060,Diesel,2020-03-01 00:00:00 UTC
RGZ6144,Diesel,2020-03-01 00:00:00 UTC
RRZ4229,Diesel,2020-03-01 00:00:00 UTC
PRZ4668,Diesel,2020-03-01 00:00:00 UTC
XHZ6535,Diesel,2020-03-01 00:00:00 UTC
RRZ2543,Diesel,2020-03-01 00:00:00 UTC
RRZ2861,Diesel,2020-03-01 00:00:00 UTC
RRZ3445,Diesel,2020-03-01 00:00:00 UTC
DSZ7200,Diesel,2020-03-01 00:00:00 UTC
ESZ2478,Diesel,2020-03-01 00:00:00 UTC
XHZ6604,Diesel,2020-03-01 00:00:00 UTC
RGZ3040,Diesel,2020-03-01 00:00:00 UTC
XHZ6601,Diesel,2020-03-01 00:00:00 UTC
ESZ2480,Diesel,2020-03-01 00:00:00 UTC
RRZ3552,Diesel,2020-03-01 00:00:00 UTC
OXZ4269,Diesel,2020-03-01 00:00:00 UTC
RGZ3613,Diesel,2020-03-01 00:00:00 UTC
RRZ4977,Diesel,2020-03-01 00:00:00 UTC
AYZ3423,Diesel,2020-03-01 00:00:00 UTC
XHZ6602,Diesel,2020-03-01 00:00:00 UTC
ESZ2557,Diesel,2020-03-01 00:00:00 UTC
RRZ4208,Diesel,2020-03-01 00:00:00 UTC
RRZ3565,Diesel,2020-03-01 00:00:00 UTC
AYZ2166,Diesel,2020-03-01 00:00:00 UTC
XUI6884,Diesel,2020-03-01 00:00:00 UTC
RRZ3762,Diesel,2020-03-01 00:00:00 UTC
ESZ2440,Diesel,2020-03-01 00:00:00 UTC
RRZ5056,Diesel,2020-03-01 00:00:00 UTC
AYZ2362,Diesel,2020-03-01 00:00:00 UTC
RRZ4007,Diesel,2020-03-01 00:00:00 UTC
RRZ4009,Diesel,2020-03-01 00:00:00 UTC
XHZ5893,Diesel,2020-03-01 00:00:00 UTC
RRZ4908,Diesel,2020-03-01 00:00:00 UTC
RRZ5055,Diesel,2020-03-01 00:00:00 UTC
AYZ3449,Diesel,2020-03-01 00:00:00 UTC
RRZ4893,Diesel,2020-03-01 00:00:00 UTC
RRZ4228,Diesel,2020-03-01 00:00:00 UTC
AYZ3447,Diesel,2020-03-01 00:00:00 UTC
XUI6855,Diesel,2020-03-01 00:00:00 UTC
AYZ3380,Diesel,2020-03-01 00:00:00 UTC
PGZ9579,Diesel,2020-03-01 00:00:00 UTC
RRZ2629,Diesel,2020-03-01 00:00:00 UTC
XHZ5892,Diesel,2020-03-01 00:00:00 UTC
UIG8940,Diesel,2020-03-01 00:00:00 UTC
XHZ5565,Diesel,2020-03-01 00:00:00 UTC
AYZ2325,Diesel,2020-03-01 00:00:00 UTC
AYZ3051,Diesel,2020-03-01 00:00:00 UTC
PRZ9326,Diesel,2020-03-01 00:00:00 UTC
RRZ3345,Diesel,2020-03-01 00:00:00 UTC
RRZ3619,Diesel,2020-03-01 00:00:00 UTC
AYZ2165,Diesel,2020-03-01 00:00:00 UTC
UIG5659,Diesel,2020-03-01 00:00:00 UTC
ESZ2439,Diesel,2020-03-01 00:00:00 UTC
XUI6635,Diesel,2020-03-01 00:00:00 UTC
OXZ4210,Diesel,2020-03-01 00:00:00 UTC
RGZ6618,Diesel,2020-03-01 00:00:00 UTC
OXZ4262,Petrol,2020-03-01 00:00:00 UTC
RRZ3383,Petrol,2020-03-01 00:00:00 UTC
RRZ4972,Petrol,2020-03-01 00:00:00 UTC
TIG1907,Petrol,2020-03-01 00:00:00 UTC
